Treatment,Mouse,14,17,19,21,24,26
Vehicle,1,4.2,4.2,525,577.5,1543.5,4200
Vehicle,2,18.9,105,268.8,382.725,698.775,1852.2
Vehicle,3,23.625,205.8,4.2,4.2,14.175,510.3
Vehicle,4,23.625,151.2,302.4,425.25,630,2688
Vehicle,5,0.525,33.6,205.8,151.2,425.25,1058.4
Vehicle,6,18.9,205.8,336,682.5,787.5,2956.8
Vehicle,7,4.2,33.6,205.8,302.4,467.775,1646.4
Vehicle,8,4.2,33.6,132.3,132.3,257.25,735
Vehicle,9,4.2,4.2,42,91.875,91.875,1058.4
Vehicle,10,14.175,91.875,436.8,682.5,1285.2,3793.125
Vehicle,11,0,0,0,0,0,0
Vehicle,12,23.625,151.2,403.2,735,1285.2,2956.8
Vehicle,13,0.525,0.525,0.525,0.525,0.525,0.525
Vehicle,14,14.175,65.625,268.8,735,1058.4,2419.2
RT,15,0.525,0.525,0.525,0.525,0.525,0.525
RT,16,14.175,65.625,231.525,231.525,151.2,1016.4
RT,17,4.2,18.9,23.625,23.625,23.625,552.825
RT,18,23.625,205.8,577.5,630,952.875,3489.675
RT,19,6.3,91.875,151.2,151.2,257.25,952.875
RT,20,23.625,231.525,577.5,467.775,403.2,1852.2
RT,21,4.2,42,467.775,425.25,525,2284.8
RT,22,4.2,33.6,33.6,42,42,525
RT,23,33.6,132.3,268.8,205.8,302.4,907.2
RT,24,18.9,231.525,436.8,403.2,630,3337.95
RT,25,1.05,6.3,18.9,14.175,23.625,302.4
RT,26,18.9,231.525,308.7,467.775,735,4422.6
RT,27,0,78.75,78.75,78.75,132.3,982.8
RT,28,8.4,151.2,308.7,308.7,735,3091.2
AMG,29,18.9,18.9,302.4,302.4,425.25,1016.4
AMG,30,18.9,58.8,205.8,91.875,205.8,762.3
AMG,31,23.625,180.075,425.25,425.25,382.725,1134
AMG,32,1.05,14.175,18.9,18.9,18.9,257.25
AMG,33,1.05,180.075,113.4,65.625,205.8,1058.4
AMG,34,33.6,78.75,205.8,91.875,787.5,1285.2
AMG,35,4.2,8.4,58.8,10.5,8.4,58.8
AMG,36,6.3,151.2,268.8,65.625,78.75,577.5
AMG,37,4.2,33.6,65.625,65.625,180.075,510.3
AMG,38,4.2,33.6,23.625,23.625,78.75,257.25
AMG,39,0,0,0,0.525,0.525,0.525
AMG,40,28.35,257.25,42,132.3,257.25,787.5
RT+AMG,41,33.6,302.4,6.3,0.525,0.525,0.525
RT+AMG,42,18.9,42,151.2,23.625,18.9,132.3
RT+AMG,43,0.525,4.2,4.2,0.525,0.525,0.525
RT+AMG,44,4.2,33.6,18.9,6.3,4.2,14.175
RT+AMG,45,0.525,0.525,6.3,0.525,0.525,0.525
RT+AMG,46,6.3,180.075,113.4,14.175,14.175,33.6
RT+AMG,47,23.625,268.8,525,180.075,91.875,78.75
RT+AMG,48,23.625,180.075,577.5,268.8,180.075,630
RT+AMG,49,0.525,1.05,762.3,257.25,151.2,682.5
RT+AMG,50,23.625,6.3,735,308.7,105,282.975
RT+AMG,51,0,0.525,0.525,0.525,0.525,0.525
RT+AMG,52,4.2,50.4,231.525,78.75,65.625,425.25